id;wbs;name;description;ct_id;pm_id;created_at;updated_at
;5194P40003;MORRO DO CHAPEU-230KV-SAS-CHESF;To Update;;VICENTE FERREIRA;;
;5194P40004;IBIAPINA-230KV-SAS-CHESF;To Update;;VICENTE FERREIRA;;
;5194P40005;LAGOA NOVA-230KV-SAS-CHESF;To Update;;VICENTE FERREIRA;;
;5194P40026;FURNAS-345kV-SAS;To Update;;VICENTE FERREIRA;;
;5194P40033;SUPER PORTO DO AU-345kV-SAS-LLX;OK;;Israel Clark;;
;5194P40071;BOM DESPACHO 3 - 300MVAr - SAS - CEMIG;To Update;;VICENTE FERREIRA;;
;5194P40075;SE SANTA RITA-500/238KV-SAS-CYMI;To Update;;VICENTE FERREIRA;;
;5194P40118;CGE - 138kV - AIS CASA DOS VENTOS;OK;;Israel Clark;;
;5194P40121;Aditivo - UK - PO IE MADEIRA Lote F ANEE;To Update;;Thiago WRONSKI;;
;5194P40145;LTTE - LOTE J Leilo 004/11;To Update;;VICENTE FERREIRA;;
;5194P40155;Ampliao SE SUAPE II e II WEG;OK;;Israel Clark;;
;5194P40168;CGE-69KV-SAS-BRAZIL WIND;To Update;;Gilmar Coutinho;;
;5194P4018;RECIFE II - 500KV - SAS -CHESF;To Update;;Gilmar Coutinho;;
;5194P40191;VALE 2643320 - SALOBO SERVICOS;To Update;;VICENTE FERREIRA;;
;5194P40241;CGE So Miguel Gostoso 69KV SAS VOLTLIA;OK;;Israel Clark;;
;5194P40253;LINHARES - 230kV - AIS - FURNAS;OK;;Ana Bizaroli;;
;5194P40265;Ampliacin Lo Aguirre 220KV SAS LTRANS;To Update;;VICENTE FERREIRA;;
;5194P40280;FERNO DIAS-500KV-SAS-MSG FURNAS;OK;;Ana Bizaroli;;
;5194P40281;CGE - MORRINHOS;OK;;Israel Clark;;
;5194P40295;CRUZ-230kV-AIS-CDV;OK;;Israel Clark;;
;5194P40351;Joo Camara III  500KV SAS ETN;To Update;;Gilmar Coutinho;;
;5194P40367;TOSHIBA  PO 4501461225;OK;;Fabio Figueiredo;;
;5194P40375;Pantanal - Lote F 002/2013;OK;;Israel Clark;;
;5194P40411;003/2015 - Elecnor Lote A - SE Capivari;OK;;Israel Clark;;
;5194P40412;90.2014.6830 - CHESF SE JARDIM;OK;;Ana Bizaroli;;
;5194P40414;SIC SING - SAS;To Update;;Gilmar Coutinho;;
;5194P40415;PS/312/2014 - CTEEP - Lote Salto Grande;OK;;Rafael Borba;;
;5194P40448;CHESF ERAC;OK;;Ana Bizaroli;;
;5194P40457;CELG GT SE CARAJS;To Update;;Thiago Gazolli;;
;5194P40462;WEG PO 4503446105 SUP;OK;;Fabio Figueiredo;;
;5194P40498;Elecnor - Lote E - SE Paraiso;OK;;Israel Clark;;
;5194P40524;BSC PO 4500411015;OK;;Fabio Figueiredo;;
;5194P40536;GNL  PO  7150284;OK;;Fabio Figueiredo;;
;5194P40564;Lo Aguirre III - ALSTOM CHILE;To Update;;Gilmar Coutinho;;
;5194P40588;Mega Deal - Fast Power;To Update;;Gilmar Coutinho;;
;5194P40594;Furnas  PO TC8000008982;OK;;Israel Clark;;
;5194P40597;RONDONOPOLIS FSC RETROFIT SAS;OK;;Fabio Figueiredo;;
;5194P40600;TSK   PO  115406-0135 SUP;OK;;Fabio Figueiredo;;
;5194P40601;Mega Deal - SE LOMA LA LATA;To Update;;Gilmar Coutinho;;
;5194P40609;Ampliacin Changos;To Update;;Gilmar Coutinho;;
;5194P40611;Cymimasa - Lote A JMM Oriente;OK;;Israel Clark;;
;5194P40613;Cymimasa - Lote A JMM Ocidente;OK;;Israel Clark;;
;5194P40617;Mega Deal - SE Tucuman;To Update;;Gilmar Coutinho;;
;5194P40619;GE Taubate GA;OK;;Ana Bizaroli;;
;5194P40621;EATON PO  149050  SUP;OK;;Fabio Figueiredo;;
;5194P40627;GE  PO  4700268613 SUP;OK;;Fabio Figueiredo;;
;5194P40631;ENEL PO 8400106090 SUP;OK;;Fabio Figueiredo;;
;5194P40632;BSC  PO 4500423099 SUP;OK;;Fabio Figueiredo;;
;5194P40635;Power Conversion - Venezuela;OK;;Israel Clark;;
;5194P40640;OEA Sernandes  PO S/N  SUP;OK;;Fabio Figueiredo;;
;5194P40641;Siemens PO 4501236423 SUP;OK;;Fabio Figueiredo;;
;5194P40643;Mega Deal - TANDIL - Argentina;To Update;;Gilmar Coutinho;;
;5194P40644;UTE CAMPO LARGO - GA;OK;;Ana Bizaroli;;
;5194P40650;ABB  PO 062 110067 SUP B2B;OK;;Fabio Figueiredo;;
;5194P40651;Alstom Renov PO 4101348461 SUP;OK;;Fabio Figueiredo;;
;5194P40652;BSC  PO 4500425851 e 4500425852;OK;;Fabio Figueiredo;;
;5194P40654;LOTE 5;OK;;Israel Clark;;
;5194P40656;UTE PORTO DE SERGIPE I - GA;OK;;Israel Clark;;
;5194P40660;CPFL  PO  4700524201 SUP;OK;;Fabio Figueiredo;;
;5194P40661;Mega Deal - Vila Maria - Argentina;To Update;;Gilmar Coutinho;;
;5194P40662;EDP-Lote 24-GA;OK;;Israel Clark;;
;5194P40664;CTEEP-Lote 21-GA;OK;;Israel Clark;;
;5194P40665;Lote W - Ona Puma;OK;;Ana Bizaroli;;
;5194P40667;ENERGISA MINAS GERAIS 7965825;To Update;;Ana Bizaroli;;
;5194P40668;CHESF_SE Irec_CTNI-90.2015.0310.00;OK;;Rafael Borba;;
;5194P40669;FURNAS - XAVANTES - GA;OK;;Israel Clark;;
;5194P40670;SCHWEITZER   PO  151363 SUP;OK;;Fabio Figueiredo;;
;5194P40671;EATON    PO  150797 SUP;OK;;Fabio Figueiredo;;
;5194P40672;CHESF - PICI II - GA;OK;;Rafael Borba;;
;5194P40674;CHESF - FORTALEZA GA;OK;;Rafael Borba;;
;5194P40677;Pontual PO PE-032/2017-rev.01;OK;;Fabio Figueiredo;;
;5194P40689;SE Garilbaldi 1 - Escopo M&D;OK;;Karen Melo;;
;5194P40691;LOTE 6 - CTEEP ARARAQUARA II - GA;OK;;Ana Bizaroli;;
;5194P40692;Pontual PO PE-047/2017-rev.01;OK;;Fabio Figueiredo;;
;5194P40694;VENTOS DE STA Joana PO 450087838 SUP;OK;;Fabio Figueiredo;;
;5194P40699;SIMM PO  3369 SUP;OK;;Fabio Figueiredo;;
;5194P40704;CTEEP-Lote 01-GA;OK;;Ana Bizaroli;;
;5194P40705;FURNAS - LOTES I e IV;OK;;Israel Clark;;
;5194P40706;OEA EOLICA PO 4501100515 SUP;OK;;Fabio Figueiredo;;
;5194P40707;OEA EOLICA PO 4501100512 SUP;OK;;Fabio Figueiredo;;
;5194P40708;OEA EOLICA PO 4501100507 SUP;OK;;Fabio Figueiredo;;
;5194P40709;OEA EOLICA PO 4501100514 SUP;OK;;Fabio Figueiredo;;
;5194P40710;PLANOVA PLANEJAMENTO-LOTE G;OK;;Israel Clark;;
;5194P40712;ABB  PO 4500206253 SUP;OK;;CHARLISE DA SILVA;;
;5194P40713;CANTAREIRA  PO SE 162  SUP;OK;;CHARLISE DA SILVA;;
;5194P40719;GE Energy  PO 20000985;To Update;;Vicente Coelho;;
;5194P40721;Linhas de Taubate Transmissora - PC 17Z1;OK;;Israel Clark;;
;5194P40724;GE Colombia PO 4500943559 SUP;To Update;;Ana Bizaroli;;
;5194P40730;Elecnor - Lote 31 ANEEL 005/2016;OK;;Ana Bizaroli;;
;5194P40731;WEG   PO 45081677062  SUP;OK;;CHARLISE DA SILVA;;
;5194P40733;LOTE 10 - STERLITE - GA;To Update;;Gilmar Coutinho;;
;5194P40735;Chesf - Reles de Proteo & Controle;OK;;Rafael Borba;;
;5194P40737;CHESF RECIFE GA;OK;;Guilherme Silva;;
;5194P40738;ABB    PO  4500213974  SUP;OK;;CHARLISE DA SILVA;;
;5194P40739;PSI    PO 1833   SUP;OK;;CHARLISE DA SILVA;;
;5194P40740;BSC    PO 4500435216   SUP;OK;;CHARLISE DA SILVA;;
;5194P40744;Ingeteam   PO  36784   SUP;OK;;CHARLISE DA SILVA;;
;5194P40746;Ingeteam   PO  36786   SUP;OK;;CHARLISE DA SILVA;;
;5194P40747;Ingeteam   PO  36785   SUP;OK;;CHARLISE DA SILVA;;
;5194P40750;UMBURANAS - GA;OK;;Ana Bizaroli;;
;5194P40751;SE CENTRO 138/13,8KV - AMAZONAS;To Update;;Gilmar Coutinho;;
;5194P40752;CANTAREIRA  PO SE 186 2018  SUP;OK;;CHARLISE DA SILVA;;
;5194P40754;ABB   PO 4500219271 PROD;OK;;CHARLISE DA SILVA;;
;5194P40755;LO AGUIRRE;To Update;;Gilmar Coutinho;;
;5194P40757;0248_16 SE Joao Camara III Prot de Barra;OK;;Fabio Figueiredo;;
;5194P40758;Lote 34 - Leilo 005/2016;OK;;Guilherme Silva;;
;5194P40760;Siemens  PO 4501332411   SUP;OK;;CHARLISE DA SILVA;;
;5194P40761;GE Renovaveis    PO 4101604591   SUP;OK;;Israel Clark;;
;5194P40762;CHESF  PO CTNI 80 2017 00 70 00   SUP;OK;;Rafael Borba;;
;5194P40764;GE Renovaveis    PO 4101604551   SUP;OK;;Israel Clark;;
;5194P40766;0053_2018_BR_GA_SYS - SE Manaus;OK;;Guilherme Silva;;
;5194P40767;0088_2017_BR_GA_SYS_LOTE L - 005-2015;OK;;Guilherme Silva;;
;5194P40768;Lote 15 - Leilo 005/2016;To Update;;Gilmar Coutinho;;
;5194P40771;Termonorte  PO 028491   SUP;OK;;Rafael Borba;;
;5194P40772;GE TAUBATE   PO 4101641455   SUP;OK;;CHARLISE DA SILVA;;
;5194P40773;BSC   PO 4500439961   SUP;OK;;CHARLISE DA SILVA;;
;5194P40779;MALTERIA TAUBAT;OK;;Fabio Figueiredo;;
;5194P40780;Siemens     PO  4500486973 SUP;OK;;CHARLISE DA SILVA;;
;5194P40781;0155_2018_BR_GA_SUP_REV03;OK;;CHARLISE DA SILVA;;
;5194P40782;ELENCOR 0020_BR_GA_SUP/2018_REV03;OK;;CHARLISE DA SILVA;;
;5194P40788;NARI PNOB_2018238 SUP;OK;;CHARLISE DA SILVA;;
;5194P40789;TSK 117404-0147 SUP;OK;;CHARLISE DA SILVA;;
;5194P40790;SIEMENS 4501355637 SUP;OK;;CHARLISE DA SILVA;;
;5194P40791;COELCE  PO 1400813712 SUP;OK;;CHARLISE DA SILVA;;
;5194P40792;GRID PO 3485-3CC2237257 SUP;OK;;CHARLISE DA SILVA;;
;5194P40795;0510_2018_CL_GA_SUP_REV00_IngY Const.Sig;OK;;CHARLISE DA SILVA;;
;5194P40798;JE JAIMES    PO 185   SUP;OK;;CHARLISE DA SILVA;;
;5194P40799;Lote E_ETB_JU_COM_0021-18_Alupar_GA;OK;;Rafael Borba;;
;5194P40800;Engie PO 4500006498 SUP;OK;;CHARLISE DA SILVA;;
;5194P40801;JE JAIMES  PO 100 SUP;OK;;CHARLISE DA SILVA;;
;5194P40802;GE TAUBATE   PO 4100865860   SUP;OK;;CHARLISE DA SILVA;;
;5194P40804;Transelec Cerro Navia Chile;OK;;Arare Figueiredo;;
;5194P40805;Engie Capricornio Chile;OK;;Ana Bizaroli;;
;5194P40806;AES Gener Cerro Navia Chile;OK;;Arare Figueiredo;;
;5194P40807;Enel Pudahuel Chile;OK;;Arare Figueiredo;;
;5194P40808;Enel Cerro Navia Chile;OK;;Arare Figueiredo;;
;5194P40809;Chilquinta Alto Melipilla Chile;OK;;Arare Figueiredo;;
;5194P40810;CGE Punta de Cortes Chile;OK;;Ana Bizaroli;;
;5194P40811;Transelec Seccionamiento Punta de Cortes;OK;;Ana Bizaroli;;
;5194P40812;4101701275_GE Energias Renovaveis Ltda;OK;;CHARLISE DA SILVA;;
;5194P40815;0522_18 SE CAMAQU 3 PLACAS UR_TRANSMISS;OK;;CHARLISE DA SILVA;;
;5194P40816;0533_18 UTE Pecem - Placas_PORTO DO PECE;OK;;CHARLISE DA SILVA;;
;5194P40819;0128_2018_BR_GA_SUP - SE Ibiapina II - A;OK;;CHARLISE DA SILVA;;
;5194P40820;ECU-SAS-SUP-0151/2018_TRANSELEC SANTIAGO;OK;;Fabio Figueiredo;;
;5194P40821;0541_2018_BR_GA_SUP - SE Eliseu Martins;OK;;CHARLISE DA SILVA;;
;5194P40822;177_2018_BR_GA_SUP - SE CURRAL NOVO DO P;OK;;Fabio Figueiredo;;
;5194P40823;SIEMENS Chile PO 4500507867 SUP;OK;;CHARLISE DA SILVA;;
;5194P40827;0511_BR_GA_SUP/2018_NARI BRASIL HOLDING;OK;;Rafael Borba;;
;5194P40829;0545_2018_BR_GA_SUP - ALIANA ENERGIA EL;OK;;CHARLISE DA SILVA;;
;5194P40831;0549_2018_BR_GA_REV01_SIEMENS S.A.;OK;;CHARLISE DA SILVA;;
;5194P40832;Sigdo PO 4800676551 SUP;OK;;CHARLISE DA SILVA;;
;5194P40833;WEG PO 4508966206 SUP;OK;;CHARLISE DA SILVA;;
;5194P40834;0517_2018-GA-SUP_Rev02_Transmissora Elec;OK;;CHARLISE DA SILVA;;
;5194P40835;573_2018-BR-GA_Rev04_WEG EQUIPAMENTOS EL;OK;;CHARLISE DA SILVA;;
;5194P40837;Lote 3 - STERLITE DUNAS - GA;OK;;Israel Clark;;
;5194P40839;0537_2018-BR-GA-SUP_REV00_ELETRONORTE SA;OK;;CHARLISE DA SILVA;;
;5194P40840;0561_2018-BR-GA-SUP_REV01_TECNOVA ENGENH;OK;;Israel Clark;;
;5194P40841;0532_2018-BR-GA-SUP_SE So Mateus I_REV0;OK;;Israel Clark;;
;5194P40842;0583_2018-CL-GA-SUP - Prop_Tec_Com_Rev00;OK;;CHARLISE DA SILVA;;
;5194P40844;0538_2018-CL-GA-SUP - Prop_Tec_REV07;OK;;CHARLISE DA SILVA;;
;5194P40845;543_2018-BR-GA-SUP_REV02_SANTA VITORIA;OK;;CHARLISE DA SILVA;;
;5194P40849;060_2018_BR_GA_SUP_TRANSF_ITO-OTR - Adi;OK;;CHARLISE DA SILVA;;
;5194P40853;585_2018-BR-GA-SUP_REV02_CYMI TECH SOLUC;OK;;Fabio Figueiredo;;
;5194P40854;OP18031136760_GNL QUINTERO S.A.;OK;;Fabio Figueiredo;;
;5194P40855;502_2018-EC-GA-SUP_Prop_Tec_Com_OMACONSA;OK;;CHARLISE DA SILVA;;
;5194P40856;0613_2018-BR-GA-SUP_GE Energias Renovave;OK;;CHARLISE DA SILVA;;
;5194P40857;060_BR_GA_SUP/2018_GE ENERGY COLOMBIA SA;OK;;CHARLISE DA SILVA;;
;5194P40859;CONTRATO ENGIE N  21122018 - CBR // ITR;OK;;Rafael Borba;;
;5194P40860;556_2018-BR-GA-SUP_REV03_ALIANCA GERACAO;OK;;CHARLISE DA SILVA;;
;5194P40861;0515_2018-BR-GA-SUP - Prop_Com_REV08;OK;;CHARLISE DA SILVA;;
;5194P40862;STERLITE LOTE 20 - GA;OK;;Guilherme Silva;;
;5194P40863;STERLITE LOTE 04 - GA;OK;;Rafael Borba;;
;5194P40864;0597_2018_CL_GA_SUP_Grid Solutions Chile;OK;;CHARLISE DA SILVA;;
;5194P40866;0600_2018-BR-GA-SUP_SAO JOAO TRANSMISSOR;OK;;Fabio Figueiredo;;
;5194P40868;589_2018-BR-GA-SUP_REV03_INGETEAM LTDA;OK;;CHARLISE DA SILVA;;
;5194P40869;591_2018-BR-GA-SUP_REV00_WEG EQUIPAMENTO;OK;;CHARLISE DA SILVA;;
;5194P40872;0014_2019_UR_GA_SUP_ARTECING SA;OK;;CHARLISE DA SILVA;;
;5194P40873;0027_2019_BR_GA_SUP_WEG EQUIPAMENTOS ELE;OK;;Fabio Figueiredo;;
;5194P40875;26_2019-BR-GA-SUP_ELVATRON S.A.;OK;;CHARLISE DA SILVA;;
;5194P40876;0031_2019_BR_GA_SUP_SAO PEDRO TRANSMISSO;OK;;CHARLISE DA SILVA;;
;5194P40877;0039_2019_BR_GA_SUP_WEG EQUIPAMENTOS ELE;OK;;Fabio Figueiredo;;
;5194P40879;0013_2019_BR_GA_SUP_BAHIA SPECIALTY CELL;OK;;CHARLISE DA SILVA;;
;5194P40880;0025_2019_BR_GA_SUP_SIEMENS_LTDA;OK;;Fabio Figueiredo;;
;5194P40883;0041_2019_BR_GA_SUP_SIEMENS LTDA;OK;;CHARLISE DA SILVA;;
;5194P40884;0042_2019_BR_GA_SUP_TRANSFORMADORES E SE;OK;;CHARLISE DA SILVA;;
;5194P40886;SPE CTEEP_LOTE 10_LORENA;OK;;Guilherme Silva;;
;5194P40887;0033_2019_BR_GA_SUP_SIEMENS LTDA;OK;;Fabio Figueiredo;;
;5194P40888;0044_2019_BR_GA_SUP_ABB LTDA;OK;;Fabio Figueiredo;;
;5194P40889;0007_2019_BR_GA_SUP;OK;;CHARLISE DA SILVA;;
;5194P40890;SPE CTEEP_LOTE 10_LORENA 2;OK;;Guilherme Silva;;
;5194P40891;ENGIE CAMPO LARGO II - GA;OK;;Israel Clark;;
;5194P40895;0611_2018-BR-GA-SUP_Prop_Com.rev04;OK;;CHARLISE DA SILVA;;
;5194P40896;0500_2018-BR-GA-SUP-Prop_Comercial_Rev07;OK;;CHARLISE DA SILVA;;
;5194P40898;0033_2017_BR_GA_SYS_PCom_Rev08;OK;;Arare Figueiredo;;
;5194P40902;0024_2019_BR_GA_SUP_ABB LTDA;OK;;Fabio Figueiredo;;
;5194P40903;0028_2019_BR_GA_SUP_OEA EOLICA VENTO ARA;OK;;CHARLISE DA SILVA;;
;5194P40904;SE ALTAMIRANO;OK;;Guilherme Silva;;
;5194P40905;SE Macul;OK;;Guilherme Silva;;
;5194P40906;SE LA DEHESA;OK;;Guilherme Silva;;
;5194P40908;0057_2019_BR_GA_SUP_ABB LTDA;OK;;CHARLISE DA SILVA;;
;5194P40915;0054_2019_CL_GA_SUP_Consorcio Abengoa Ki;To Update;;CHARLISE DA SILVA;;
;5194P40916;0054_2019_CL_GA_SUP_TRANSELEC;OK;;CHARLISE DA SILVA;;
;5194P40917;0556_2018_BR_GA_SUP;OK;;CHARLISE DA SILVA;;
;5194P40918;0070_2019_BR_GA_SUP_SIEMENS;OK;;CHARLISE DA SILVA;;
;5194P40919;0011_2019_CL_GA_SUP_TEN;To Update;;Felipe Okada;;
;5194P40920;0083_2019_MX_GA_SUP_SISTEMAS CONTROL PRO;To Update;;CHARLISE DA SILVA;;
;5194P40921;0085_2019_BR_GA_SUP_GB TECNOLOGIA SA;To Update;;Felipe Okada;;
;5194P40922;0096_2019_BR_GA_SUP_LIGHT RIO DE JANEIRO;To Update;;CHARLISE DA SILVA;;
;5194P40923;0090_2019_BR_GA_SUP_ABB LTDA;To Update;;CHARLISE DA SILVA;;
;5194P40924;CHESF RECIFE GA;OK;;Guilherme Silva;;
;5194P40925;0074_2019_BR_GA_SUP_ENGIE;To Update;;CHARLISE DA SILVA;;
;5194P40926;0120_2019_BR_GA_SUP_TGO_SE_Barro alto;OK;;CHARLISE DA SILVA;;
;5194P40927;RJ02.REV.19B0108_TECHNOPETRO;OK;;CHARLISE DA SILVA;;
;5194P40928;0091_2019_BR_GA_SUP_CARBOCLORO;OK;;CHARLISE DA SILVA;;
;5194P40929;0129_2019_BR_GA_SUP_SE ACARAU_II;OK;;CHARLISE DA SILVA;;
;5194P40931;0127_2019_BR_GA_SUP_CERAN;To Update;;CHARLISE DA SILVA;;
;5194P40932;0062_2019_BR_GA_SUP_SIEMENS;To Update;;Vicente Coelho;;
;5194P40933;Engie - Albemarle GA;To Update;;Valenzuela, Alberto;;
;5194PCLEARING 2030;CLEARIN MR11 2030;To Update;;Vicente Coelho;;
;5194PWAR-40414;SIC SING Warranty Provision GA;To Update;;Gilmar Coutinho;;
;5220PGA02;ENGIE- P&C GA Categora 5;To Update;;Roberto Godoy;;
;DE5550;Toshiba Metro L5;To Update;;;;
;DE5552;AMT Acelor Mittal;To Update;;;;
;G189P00004;Furnas Lote III;To Update;;;;
;G189P00005;Furnas Lote VI;To Update;;;;
;G189P00006;Ambar Lote A;To Update;;;;
;G189P00007;Ambar Lote C;To Update;;;;
;G189P00008;Ambar Lote D;To Update;;;;
;G189P00009;TGO Transenergia Goias;To Update;;;;
;M&D-Lote 23;Lote 23;To Update;;;;
;M&D-Lote 8;Lote 8;To Update;;;;
